NRIC,researcher_name,sector,income,degree
F6920588N,Patrick Patterson,Aerospace,3813,Bachelors
T2499046R,Beverly Calderin,Healthcare,4033,Bachelors
F2052239L,Ray Gamboa,Agricultural,4479,Masters
F4149602B,Roger Jones,Healthcare,8250,Post-grad
G3294219C,Nancy Baca,Agricultural,5239,Non-degree
G6750859T,Karen Sanders,Healthcare,3519,Masters
F2501868R,Jean Strand,Healthcare,6378,PhD
F1575842U,Hettie Trapp,Engineering,5009,Masters
G0083833R,Cecil Dixson,Aerospace,4243,PhD
G8320268X,Richard Fraher,Engineering,4714,Masters
F7008609L,Raymond Sanchez,Engineering,3083,Masters
S4005846N,Heather Dodson,Engineering,3875,Post-grad
G9289535G,Glenn Falcone,Aerospace,3414,Post-grad
S6160190B,Hye Savage,Healthcare,7798,PhD
T0635414A,James Mandy,Aerospace,7081,Non-degree
F0548565I,James Lao,Healthcare,3235,Non-degree
S4362666T,Hope Walker,Engineering,3996,Bachelors
T9109738A,Jerry Henderson,Healthcare,6226,Post-grad
S7746616D,Robert Kerrigan,Healthcare,3235,PhD
T2541583R,Ryan Everett,Aerospace,3697,Bachelors
S3726741N,Stephanie Benton,Agricultural,3970,PhD
G8581886I,Paul Spencer,Agricultural,3094,PhD
T1207364Y,Rose Escobar,Healthcare,5286,Masters
F2039483V,Mable Lanzarin,Engineering,4771,Masters
F3102744S,Linda Walters,Engineering,5386,Non-degree
S4237768G,Conrad Baez,Agricultural,5987,Non-degree
G5718188X,Kayla Dennison,Engineering,4377,Post-grad
F3691558Q,Hazel Terrell,Healthcare,11676,Bachelors
F7248771B,Harold Hayes,Agricultural,7526,Masters
F3739784L,Marguerite Christion,Healthcare,3100,PhD
G3659922E,Alissa Chubbs,Agricultural,3228,Non-degree
S0015363J,Angela Maxfield,Aerospace,10252,Post-grad
S0222669Z,Jose Wachsman,Aerospace,5416,Post-grad
T1434528K,Michelle Bejar,Engineering,8241,Bachelors
G6486874F,Tiffany Trudeau,Aerospace,5348,Post-grad
S5862651I,Christine Ball,Agricultural,7980,PhD
S1080980T,Lottie Price,Engineering,4071,Post-grad
G3619824H,David Wiederwax,Healthcare,5427,Masters
S0022621H,Maria Conner,Agricultural,4813,Post-grad
G6013295M,Jose Phair,Agricultural,8328,PhD
T8341958V,Madeline Darland,Agricultural,7022,Post-grad
T4466438W,Denise Hissem,Agricultural,11552,Bachelors
G5620383G,Janice Pearce,Agricultural,3087,PhD
G0984357V,Carlita Smidt,Agricultural,6139,Bachelors
G1506818B,Ivan Bell,Agricultural,5924,Bachelors
G9505490Q,Michael Zimmerebner,Aerospace,8435,PhD
G0682868F,Kimberly Hogan,Aerospace,11391,Post-grad
G4350512R,Stacy Sargent,Healthcare,10211,Masters
S9835701Z,April Alexander,Agricultural,7122,PhD
G1487549N,Paul Vanetten,Engineering,9088,Masters
G8281067X,Mary Moore,Agricultural,3885,Bachelors
T6595728F,Charles Samuels,Engineering,9738,Post-grad
G2746311O,Michelle Wilson,Agricultural,3948,PhD
G0636963L,Kyle Mccutcheon,Agricultural,5274,Post-grad
G8664523V,Terry Cason,Engineering,3266,PhD
T2057729B,Marie Brantner,Agricultural,5596,Masters
S5213434B,Michael Burchfield,Healthcare,5686,Post-grad
S6847879K,Carlos Asif,Healthcare,7131,Post-grad
T5977760H,Pamela Beller,Agricultural,6001,Masters
G0941985F,Nancy Thomas,Healthcare,6672,Bachelors
F2982044P,Kelly Colwell,Healthcare,8582,Post-grad
G9601302F,Juan Micklos,Agricultural,5215,PhD
G0422959W,Norma Ibarra,Aerospace,4360,PhD
G6959548U,Sarah Tallie,Agricultural,3784,Masters
S5125923H,William Franklin,Engineering,3873,Post-grad
S6625058A,Pam Iuliucci,Aerospace,11247,Post-grad
G7826147D,Nadine Hopper,Agricultural,3757,Bachelors
F3505323Q,Monica Yuen,Agricultural,4067,Post-grad
G6727087Q,Ann Clark,Aerospace,3461,Bachelors
T3311023J,Annette Moats,Engineering,8582,Masters
T1403984U,Helena Schinkel,Aerospace,4697,Bachelors
T5032329U,Richard Daniels,Aerospace,7592,Non-degree
F3125079N,Lisa Thornton,Agricultural,3755,Masters
G2611425P,Richard Smith,Engineering,3394,Bachelors
S0940386L,Carol Parrish,Healthcare,6859,Masters
G7115795D,Robert Richardson,Healthcare,7469,Masters
G9616403R,Ann Leusink,Aerospace,5372,Post-grad
F6824120R,Doris Moyer,Agricultural,10832,Non-degree
G0207176E,Ola Adams,Engineering,6352,Non-degree
F8765987W,Sandra Gooden,Agricultural,3405,Masters
S0430915Z,Cathryn Albano,Agricultural,4144,Bachelors
S3300766J,Howard Capehart,Agricultural,6896,PhD
F0502771V,Gary Robinson,Healthcare,10653,Bachelors
G6675134F,Cecil Foster,Engineering,4703,Non-degree
G4826384W,Crystal Mcgregor,Healthcare,3630,Post-grad
F5763778L,Sonia Gonzalez,Healthcare,8764,Masters
S6911833D,Andrew Linkovich,Engineering,9729,Non-degree
T8304126P,Lillian Bruner,Healthcare,3442,Post-grad
G3457343P,Lou Cornelius,Engineering,4140,Masters
T3819406R,Irene Pursell,Engineering,3426,Bachelors
G4724759Q,Kellie Nolasco,Agricultural,9562,Masters
F4005482F,Dawn Moody,Engineering,4652,Bachelors
S0652523A,Laverne Kintner,Aerospace,3262,Masters
T8051771S,Jim Elmer,Engineering,3244,Masters
G9214570F,Jacqueline Pelletier,Healthcare,3089,Non-degree
T4610539A,Miriam Gard,Engineering,8564,Non-degree
T4261769J,Jeremy Makowski,Engineering,8555,Masters
G6263471L,Daniel Adams,Agricultural,6123,Post-grad
T9348732Q,Brigitte Bow,Aerospace,3921,Masters
G8831335D,Amanda Merrill,Agricultural,4081,Bachelors
T6819414W,Chanel Marsden,Aerospace,7923,Non-degree
T0979593G,Michael Dawson,Agricultural,6470,Non-degree
S0947179R,Peggy Drew,Engineering,3513,Bachelors
S9895667U,James Burr,Agricultural,3236,Bachelors
T9015280A,Mike Johnson,Agricultural,12794,Bachelors
F4472945I,Norma Stone,Agricultural,8979,Masters
F0938769B,Bradley White,Agricultural,4961,Masters
G8684218I,Lilian Schimke,Healthcare,7411,Non-degree
F9770111A,Michael Perry,Engineering,6302,Non-degree
S3703419T,Jesse Underhill,Engineering,6378,PhD
S4764063M,Tammy Peele,Agricultural,8072,Bachelors
T3000808H,Caitlin Jackson,Aerospace,8298,Post-grad
F7529992N,Kelly Foster,Agricultural,3383,PhD
G1344021F,Neal Saur,Agricultural,5628,PhD
F1790890Q,Patrick Elliott,Aerospace,3421,Masters
G5375423T,Thanh Scamehorn,Agricultural,3496,Masters
G5468999R,Peter Stephens,Agricultural,11525,PhD
G1809675N,Richard Blanding,Engineering,4100,Non-degree
G0753934D,Tracy Sou,Healthcare,4209,Post-grad
S9782442K,Anitra Overy,Aerospace,8501,PhD
F5683469Z,William Bowen,Engineering,6636,Bachelors
F1583082C,Kathleen Artis,Agricultural,3839,Masters
G8153977L,Benjamin Gazaille,Aerospace,3565,PhD
T8017421U,Deidre Jackson,Aerospace,3849,Bachelors
F3164605K,Terrance Finch,Engineering,10208,PhD
G1613869V,Daniel Becker,Healthcare,3672,PhD
F6914267T,Joshua Benner,Healthcare,3810,Masters
T7687597C,Crystal Masterson,Healthcare,3018,Post-grad
T6418778C,Adam Boulware,Agricultural,4982,Non-degree
F8892278F,Janine Barney,Engineering,5763,Masters
F4702968W,Catherine Kelley,Aerospace,4710,Non-degree
F5548915S,Estelle Daigle,Agricultural,3486,Bachelors
T6340335W,Bradley Ortiz,Agricultural,3639,Bachelors
G5664284I,Brittney Maditz,Engineering,4217,Masters
G0448062D,William Jones,Aerospace,3208,Bachelors
G3154912P,Steven Peirce,Aerospace,7787,Bachelors
F5223775V,Jessica Larick,Aerospace,4069,Masters
