NRIC,researcher_name,sector,income,degree
S7212245T,Ernesto Griffin,Aerospace,4876,Non-degree
F0642125K,Margaret Mays,Healthcare,6685,Non-degree
G2319709V,David Hendryx,Engineering,8337,Masters
F4712075F,John Hagens,Agricultural,3504,Masters
T5654604E,Michael Shaddix,Engineering,5232,Masters
F5751797L,Lucille Moreno,Agricultural,5473,Masters
S6844288F,Terri Reid,Engineering,7798,PhD
F0956891C,Eva Mendez,Agricultural,14392,Non-degree
G8035616P,Henry Denny,Agricultural,8568,Bachelors
G5879950L,Evelyne Iannaccone,Agricultural,13934,Non-degree
S8922354A,Jason Weber,Engineering,3517,Non-degree
S1717267C,Tracey Ledbetter,Healthcare,3989,Bachelors
S4108452Z,Charles Ferraro,Engineering,3649,PhD
S5763786Y,Barbara Tillman,Aerospace,4230,PhD
F6545967K,Donald Bauer,Agricultural,8210,Masters
S4975342K,Ora Pacifico,Aerospace,3062,Bachelors
F8638689L,Carmen Gathers,Aerospace,5177,Bachelors
T1315577N,John Parr,Engineering,3207,Masters
S1658540R,Joseph Ng,Aerospace,7446,Masters
S6766300J,Robert Nesbitt,Aerospace,7480,Post-grad
T9202182Z,Kimberly Schmidt,Healthcare,5449,PhD
S1166525X,Glen Skaggs,Engineering,4500,Non-degree
G7026622V,Chelsey Mapes,Aerospace,4720,Post-grad
T2183192V,Pasquale Veatch,Agricultural,10347,PhD
F7851188D,Douglas Hoyle,Engineering,4024,Post-grad
F9958386B,Grace Mack,Agricultural,6611,Masters
S6428669B,Patrina Delgado,Agricultural,11994,Masters
F8539904Q,Bonnie Tetreault,Healthcare,6491,PhD
S5339338T,Erin Chauncey,Agricultural,5422,Post-grad
S4141318A,Jesse Meredith,Engineering,7119,Non-degree
G0841565A,Rose Conners,Agricultural,10584,Non-degree
F6287209O,James Bott,Aerospace,6194,Non-degree
G3211653D,Derek Garcia,Engineering,3881,Bachelors
F4546388C,Robert Obrien,Healthcare,10665,PhD
G2909429N,Yvette Clark,Aerospace,3534,PhD
G3362174S,Howard Mccalla,Aerospace,4444,Bachelors
T4057057T,Michelle Graham,Engineering,5477,Non-degree
F9730249P,Stephen Osullivan,Healthcare,4220,Masters
S8573242V,William Schafer,Agricultural,4445,Non-degree
